student_id,school,age,grade,class,Numbers,Addition,Subtraction,Multiplication,Division,Fractions,Decimals,Algebra,Equations
STU001,Lincoln High School,15,10th,A,95,92,90,85,78,80,75,68,60
STU002,Lincoln High School,15,10th,A,88,85,83,78,72,75,68,62,55
STU003,Lincoln High School,16,10th,A,92,90,88,82,76,78,72,65,58
STU004,Lincoln High School,15,10th,B,85,82,80,75,68,70,65,58,50
STU005,Lincoln High School,16,10th,B,90,88,86,80,74,76,70,63,56
STU006,Lincoln High School,15,10th,B,87,84,82,77,70,72,66,59,52
STU007,Lincoln High School,16,10th,C,82,80,78,72,65,68,62,55,48
STU008,Lincoln High School,15,10th,C,86,83,81,75,68,70,64,57,50
STU009,Lincoln High School,16,10th,C,84,81,79,73,66,69,63,56,49
STU010,Lincoln High School,14,9th,A,90,88,86,80,72,75,68,60,52
STU011,Lincoln High School,14,9th,A,87,85,83,77,70,72,66,58,50
STU012,Lincoln High School,15,9th,A,92,89,87,82,75,77,70,63,55
STU013,Lincoln High School,14,9th,B,85,82,80,74,67,69,63,56,48
STU014,Lincoln High School,15,9th,B,88,86,84,78,71,73,67,60,52
STU015,Lincoln High School,14,9th,B,86,83,81,76,68,70,64,57,49
STU016,Washington Middle School,13,8th,A,85,83,81,75,68,70,64,56,48
STU017,Washington Middle School,13,8th,A,88,86,84,78,71,73,67,59,51
STU018,Washington Middle School,14,8th,A,90,88,86,80,73,75,69,61,53
STU019,Washington Middle School,13,8th,B,82,80,78,72,65,67,61,53,45
STU020,Washington Middle School,14,8th,B,86,84,82,76,69,71,65,57,49
STU021,Washington Middle School,13,8th,B,84,82,80,74,67,69,63,55,47
STU022,Washington Middle School,14,8th,C,80,78,76,70,63,65,59,51,43
STU023,Washington Middle School,13,8th,C,83,81,79,73,66,68,62,54,46
STU024,Washington Middle School,14,8th,C,81,79,77,71,64,66,60,52,44
STU025,Washington Middle School,12,7th,A,82,80,78,72,65,67,61,53,45
STU026,Washington Middle School,12,7th,A,85,83,81,75,68,70,64,56,48
STU027,Washington Middle School,13,7th,A,87,85,83,77,70,72,66,58,50
STU028,Washington Middle School,12,7th,B,78,76,74,68,61,63,57,49,41
STU029,Washington Middle School,13,7th,B,82,80,78,72,65,67,61,53,45
STU030,Washington Middle School,12,7th,B,80,78,76,70,63,65,59,51,43
STU031,Jefferson Academy,16,11th,A,96,94,92,88,82,85,80,74,68
STU032,Jefferson Academy,17,11th,A,94,92,90,86,80,83,78,72,66
STU033,Jefferson Academy,16,11th,A,95,93,91,87,81,84,79,73,67
STU034,Jefferson Academy,17,11th,B,92,90,88,84,78,81,76,70,64
STU035,Jefferson Academy,16,11th,B,93,91,89,85,79,82,77,71,65
